feature_index,feature,importance
682,team1_stats.opponent-run-differential.2023,1.464753900671999
893,team1_stats.run-differential.2023,1.464753900671999
1018,team1_stats.strikeouts-per-walk.Rank,1.4225441291495982
724,team1_stats.opponent-shutouts.2023,1.411731471577404
456,team1_stats.opponent-batting-average.Rank,1.384072663293524
1440,team2_stats.left-on-base-per-game.Home,1.346232891658556
1991,team2_stats.predictive-by-other.Rating,1.3208323976741703
1853,team2_stats.opponent-slugging-pct.Rank,1.2131547937288558
1337,team2_stats.hits-per-9.Rank,1.1996955397243012
754,team1_stats.opponent-stolen-bases-attempted.Home,1.1875541226573656
745,team1_stats.opponent-stolen-base-pct.2023,1.18014411882301
1268,team2_stats.extra-base-hit-pct.Last 3,1.1747313023062105
1918,team2_stats.opponent-triples-per-game.2023,1.1669093888080901
2181,team2_stats.walk-pct.Rank,1.1425378593378754
701,team1_stats.opponent-runs-per-game.Rank,1.0984270887778227
881,team1_stats.predictive-by-other.Rating,1.091717734164201
1930,team2_stats.opponent-walk-pct.Rank,1.0906255267294376
1004,team1_stats.strikeouts-per-9.Rank,1.0470848606169398
547,team1_stats.opponent-grounded-into-double-plays-per-game.Rank,1.031467531087941
1998,team2_stats.rbis-per-game.Home,1.0223425267712127
120,team1_stats.double-plays-per-game.Away,1.017968575197964
266,team1_stats.home-runs-per-9.2023,1.0163329835543176
1085,team1_stats.walks-per-game.Rank,1.0157936846350002
461,team1_stats.opponent-batting-average-on-balls-in-play.Last 1,1.003443668680622
633,team1_stats.opponent-left-on-base-per-game.2023,0.9847420283192204
1369,team2_stats.home-run-pct.2023,0.9734404232582533
792,team1_stats.opponent-strikeouts-per-walk.Rank,0.9698122166683708
379,team1_stats.opponent-1st-inning-runs-per-game.Rank,0.9624722075978115
1213,team2_stats.caught-stealing-per-game.2022,0.9558093226997683
1462,team2_stats.non-division-by-other.Rank,0.9549442579954943
1864,team2_stats.opponent-stolen-bases-attempted.Home,0.9493162473319892
402,team1_stats.opponent-5th-inning-runs-per-game.2023,0.9243309049414625
1619,team2_stats.opponent-extra-base-hit-pct.Home,0.9154021253245057
2107,team2_stats.strikeout-pct.Rank,0.9089169399941595
2055,team2_stats.shutouts.2023,0.899339264675703
1727,team2_stats.opponent-last-2-innings-runs-per-game.Rank,0.8902302436309303
1254,team2_stats.earned-runs-against-per-game.Last 3,0.8839460503628829
1909,team2_stats.opponent-team-left-on-base-per-game.Rank,0.877547424834111
1194,team2_stats.away-by-other.Rank,0.8739133003677356
1438,team2_stats.left-on-base-per-game.2023,0.863379066853404
1120,team2_stats.1st-inning-runs-per-game.Rank,0.8579950593735548
254,team1_stats.home-by-other.Rating,0.847520422469867
259,team1_stats.home-run-pct.2023,0.8473356674169921
1224,team2_stats.consistency-by-other.Rating,0.8401530088043602
747,team1_stats.opponent-stolen-base-pct.Home,0.827439606051394
435,team1_stats.opponent-9th-inning-runs-per-game.Rank,0.8227285096901266
769,team1_stats.opponent-strikeout-pct.Last 1,0.8220586595587187
1344,team2_stats.hits-per-game.Rank,0.8160040739665477
2179,team2_stats.walk-pct.Last 1,0.8088526063411872
1771,team2_stats.opponent-outs-pitched-per-game.2023,0.8080614953103133
1769,team2_stats.opponent-on-base-plus-slugging-pct.Rank,0.8011157110579595
526,team1_stats.opponent-first-4-innings-runs-per-game.Rank,0.7987670410184206
1506,team2_stats.opponent-4th-inning-runs-per-game.Away,0.7981913547938901
1990,team2_stats.predictive-by-other.Rank,0.7890213621960885
390,team1_stats.opponent-3rd-inning-runs-per-game.Home,0.7877665344879845
285,team1_stats.in-division-sos-by-other.Last,0.7824599683362934
454,team1_stats.opponent-batting-average.Last 1,0.7792830693819152
1743,team2_stats.opponent-left-on-base-per-game.2023,0.7786121967426709
1489,team2_stats.opponent-1st-inning-runs-per-game.Rank,0.7680331713122756
245,team1_stats.home-adv-by-other.Rank,0.7655704804415192
1192,team2_stats.away-by-other.Last,0.7634996754967723
2045,team2_stats.season-sos-by-other.Rank,0.7576890823496023
1203,team2_stats.batting-average.Last 1,0.7572267604920074
1094,team1_stats.win-pct-all-games.2023,0.7535553055107694
1311,team2_stats.grounded-into-double-plays-per-game.2023,0.7516738098932175
1997,team2_stats.rbis-per-game.Away,0.7436758683280107
1143,team2_stats.5th-inning-runs-per-game.2023,0.7428561942912366
46,team1_stats.7th-inning-runs-per-game.2022,0.740179800215236
1439,team2_stats.left-on-base-per-game.Away,0.7360584152466647
1398,team2_stats.in-division-sos-by-other.Rating,0.7338112313299454
1657,team2_stats.opponent-grounded-into-double-plays-per-game.Rank,0.7266961363289657
2131,team2_stats.team-left-on-base-per-game.Away,0.7256582023608303
152,team1_stats.errors-per-game.Rank,0.7253305921144304
1053,team1_stats.vs-17-22-by-other.Rank,0.7207904398466957
1988,team2_stats.predictive-by-other.Last,0.7189394010622683
1002,team1_stats.strikeouts-per-9.Last 1,0.7162451032685468
705,team1_stats.opponent-sacrifice-flys-per-game.Home,0.7112190771294309
328,team1_stats.left-on-base-per-game.2023,0.7093635901475148
516,team1_stats.opponent-extra-inning-runs-per-game.Home,0.7076959631936777
1351,team2_stats.hits-per-run.Rank,0.705159789460877
1390,team2_stats.in-division-by-other.Last,0.6998649778726554
635,team1_stats.opponent-left-on-base-per-game.Home,0.6984948309302943
477,team1_stats.opponent-double-plays-per-game.Rank,0.6961911538816604
131,team1_stats.doubles-per-game.Rank,0.6932545750393386
1009,team1_stats.strikeouts-per-game.Last 1,0.6908005746266574
1353,team2_stats.home-adv-by-other.Last,0.6892562587756182
2095,team2_stats.stolen-bases-per-game.2023,0.6859850561726042
589,team1_stats.opponent-home-run-pct.Rank,0.6819070835125111
549,team1_stats.opponent-hit-by-pitch-per-game.2023,0.680548335629152
736,team1_stats.opponent-singles-per-game.Rank,0.6794866315839628
726,team1_stats.opponent-shutouts.Home,0.6785989039325443
431,team1_stats.opponent-9th-inning-runs-per-game.Away,0.678197368882702
2234,weather.surface_pressure,0.6767548324191162
394,team1_stats.opponent-4th-inning-runs-per-game.2022,0.674924388527741
1355,team2_stats.home-adv-by-other.Rank,0.673083833103503
1510,team2_stats.opponent-4th-inning-runs-per-game.Rank,0.6730605713125757
1216,team2_stats.caught-stealing-per-game.Home,0.667875799667675
7,team1_stats.1st-inning-runs-per-game.Home,0.6641760885101883
957,team1_stats.singles-per-game.Rank,0.6625443097805258
1601,team2_stats.opponent-earned-run-average.Rank,0.6618831657590816
510,team1_stats.opponent-extra-base-hit-pct.Last 1,0.6555783266376025
1076,team1_stats.walks-per-9.Last 1,0.6531614925408878
680,team1_stats.opponent-rbis-per-game.Rank,0.6528283350241245
1531,team2_stats.opponent-7th-inning-runs-per-game.Rank,0.6525816891325725
1230,team2_stats.double-plays-per-game.Away,0.648736339821649
2162,team2_stats.vs-17-22-by-other.Lo,0.6477515820099824
1609,team2_stats.opponent-errors-per-game.2022,0.6477368664671291
843,team1_stats.opponent-win-pct-all-games.2023,0.6474815466989026
295,team1_stats.isolated-power.Rank,0.6456567463003599
964,team1_stats.slugging-pct.Rank,0.6455181619289807
97,team1_stats.batting-average-on-balls-in-play.2023,0.6452514176403868
415,team1_stats.opponent-7th-inning-runs-per-game.2022,0.6426875268728444
1396,team2_stats.in-division-sos-by-other.Lo,0.6403010810520385
490,team1_stats.opponent-earned-run-average.Last 3,0.6401859160195194
946,team1_stats.shutouts.Away,0.6395827098306697
1372,team2_stats.home-run-pct.Last 1,0.639328348428282
967,team1_stats.sos-basic-by-other.Lo,0.6381081568985347
568,team1_stats.opponent-hits-per-9.Rank,0.6370790875221328
5,team1_stats.1st-inning-runs-per-game.2023,0.6361728754442432
114,team1_stats.consistency-by-other.Rating,0.636157034038709
264,team1_stats.home-run-pct.Rank,0.6345596945467837
154,team1_stats.extra-base-hit-pct.2023,0.6338797825420665
2046,team2_stats.season-sos-by-other.Rating,0.633118625685814
2030,team2_stats.sacrifice-hits-per-game.2022,0.6303368228650603
2087,team2_stats.stolen-bases-attempted-per-game.2022,0.6299787265080199
1870,team2_stats.opponent-stolen-bases-per-game.Away,0.6297107986557067
463,team1_stats.opponent-batting-average-on-balls-in-play.Rank,0.6280884362889007
879,team1_stats.predictive-by-other.Lo,0.6271539417018815
2106,team2_stats.strikeout-pct.Last 3,0.6264966372567293
902,team1_stats.runners-left-in-scoring-position-per-game.Home,0.6185852439962993
284,team1_stats.in-division-sos-by-other.Hi,0.6180221765023303
941,team1_stats.secondary-average.Last 1,0.6176536871271388
241,team1_stats.hits-per-run.Rank,0.6150804295796948
783,team1_stats.opponent-strikeouts-per-game.Last 1,0.6134697748971399
1905,team2_stats.opponent-team-left-on-base-per-game.Away,0.6111901062635422
2202,team2_stats.walks-plus-hits-per-inning-pitched.Rank,0.6107550993077553
2191,team2_stats.walks-per-game.Away,0.6097685881625492
761,team1_stats.opponent-stolen-bases-per-game.Home,0.6065170366542522
1023,team1_stats.team-left-on-base-per-game.Last 1,0.6040125428095534
1264,team2_stats.extra-base-hit-pct.2023,0.6033935239812666
1821,team2_stats.opponent-sacrifice-hits-per-game.Away,0.602717230487933
983,team1_stats.stolen-bases-attempted-per-game.Rank,0.6021220788925692
104,team1_stats.caught-stealing-per-game.2023,0.6008139302459536
1846,team2_stats.opponent-singles-per-game.Rank,0.5995545225249207
1512,team2_stats.opponent-5th-inning-runs-per-game.2023,0.5980862993340855
498,team1_stats.opponent-earned-runs-against-per-game.Rank,0.5973880918430822
661,team1_stats.opponent-outs-pitched-per-game.2023,0.5971898666267326
2233,weather.snowfall,0.5970824283905214
1845,team2_stats.opponent-singles-per-game.Last 3,0.5967382812819407
945,team1_stats.shutouts.2023,0.5921353790781994
1362,team2_stats.home-by-other.Lo,0.5888137851094214
1110,team1_stats.yes-run-first-inning-pct.Home,0.5878384276843825
1269,team2_stats.extra-base-hit-pct.Rank,0.5873903795781329
1497,team2_stats.opponent-3rd-inning-runs-per-game.2022,0.5850726940146995
1193,team2_stats.away-by-other.Lo,0.5842621218076475
512,team1_stats.opponent-extra-base-hit-pct.Rank,0.5833044445515787
1606,team2_stats.opponent-earned-runs-against-per-game.Last 1,0.5806255693926927
389,team1_stats.opponent-3rd-inning-runs-per-game.Away,0.5804959622524226
1744,team2_stats.opponent-left-on-base-per-game.Away,0.5791576813947485
1615,team2_stats.opponent-errors-per-game.Rank,0.5781034420726996
816,team1_stats.opponent-walk-pct.Away,0.577924696446442
1937,team2_stats.opponent-walks-per-9.Rank,0.5768200103027256
1299,team2_stats.future-sos-by-other.Last,0.5767043040749997
421,team1_stats.opponent-7th-inning-runs-per-game.Rank,0.5742080678069614
882,team1_stats.predictive-by-other.v 1-5,0.574131533616957
1335,team2_stats.hits-per-9.Last 1,0.5738142204348698
587,team1_stats.opponent-home-run-pct.Last 1,0.5729080365409732
1925,team2_stats.opponent-walk-pct.2023,0.5728769838815976
63,team1_stats.9th-inning-runs-per-game.Home,0.5694302241072505
1319,team2_stats.hit-by-pitch-per-game.Away,0.5693760455251303
1467,team2_stats.non-division-sos-by-other.Rank,0.5681503028776366
1899,team2_stats.opponent-strikeouts-per-walk.Home,0.567548178581195
969,team1_stats.sos-basic-by-other.Rating,0.5667882235383256
2094,team2_stats.stolen-bases-per-game.2022,0.5645523814655125
220,team1_stats.hits-for-extra-bases-pct.Rank,0.5612764809302547
2079,team2_stats.sos-basic-by-other.Rating,0.5602882663270902
1141,team2_stats.4th-inning-runs-per-game.Rank,0.559819544310444
634,team1_stats.opponent-left-on-base-per-game.Away,0.5591913542699776
1942,team2_stats.opponent-walks-per-game.Last 1,0.5585624426722048
1356,team2_stats.home-adv-by-other.Rating,0.5584459375056541
1431,team2_stats.last-4-innings-runs-per-game.Rank,0.5572950739345716
53,team1_stats.8th-inning-runs-per-game.2022,0.5571093515176307
588,team1_stats.opponent-home-run-pct.Last 3,0.5570827441595605
1517,team2_stats.opponent-5th-inning-runs-per-game.Rank,0.5558598644472037
1555,team2_stats.opponent-at-bats-per-home-run.Away,0.5543796283913593
1785,team2_stats.opponent-rbis-per-game.2023,0.5536077129397907
103,team1_stats.caught-stealing-per-game.2022,0.5532007746393924
1386,team2_stats.home-runs-per-game.Last 1,0.5520057328597943
1760,team2_stats.opponent-on-base-pct.Last 1,0.5513052824283883
1734,team2_stats.opponent-last-3-innings-runs-per-game.Rank,0.5497917536918601
709,team1_stats.opponent-sacrifice-hits-per-game.2022,0.5483824643588386
1468,team2_stats.non-division-sos-by-other.Rating,0.5474678029216637
1571,team2_stats.opponent-batting-average-on-balls-in-play.Last 1,0.5460585846886181
482,team1_stats.opponent-doubles-per-game.Last 1,0.5454621457674408
1951,team2_stats.opponent-walks-plus-hits--per--innings-pitched.Rank,0.544034651684947
1241,team2_stats.doubles-per-game.Rank,0.5423468471478887
1267,team2_stats.extra-base-hit-pct.Last 1,0.5420369025685761
2067,team2_stats.singles-per-game.Rank,0.5415476318681548
1551,team2_stats.opponent-at-bats-per-game.Last 3,0.5396793588484575
1694,team2_stats.opponent-home-run-pct.2023,0.5394370857646505
664,team1_stats.opponent-outs-pitched-per-game.Last 1,0.5375197969229647
1169,team2_stats.8th-inning-runs-per-game.Rank,0.5363827585521519
1475,team2_stats.on-base-pct.Rank,0.5355394064353666
1152,team2_stats.6th-inning-runs-per-game.Home,0.535355252063403
2193,team2_stats.walks-per-game.Last 1,0.5353083271312767
