feature_index,feature,importance
1855,team2_stats.opponent-stolen-base-pct.2023,1.5992477220837773
1744,team2_stats.opponent-left-on-base-per-game.Away,1.439147049639929
1224,team2_stats.consistency-by-other.Rating,1.3637018196954922
771,team1_stats.opponent-strikeout-pct.Rank,1.3291427254989474
1095,team1_stats.win-pct-all-games.Away,1.317559929896665
1575,team2_stats.opponent-caught-stealing-per-game.2023,1.268666384098933
285,team1_stats.in-division-sos-by-other.Last,1.2638223053806201
234,team1_stats.hits-per-game.Rank,1.2231664507919102
877,team1_stats.predictive-by-other.Hi,1.1950154849024004
844,team1_stats.opponent-win-pct-all-games.Away,1.189495497355613
1989,team2_stats.predictive-by-other.Lo,1.1504232428329388
114,team1_stats.consistency-by-other.Rating,1.1298952069622612
1760,team2_stats.opponent-on-base-pct.Last 1,1.1124713964651969
890,team1_stats.rbis-per-game.Last 3,1.0789994208444116
324,team1_stats.last-5-games-by-other.Lo,1.0622556176216045
1071,team1_stats.walk-pct.Rank,1.0376429160460245
2160,team2_stats.vs-17-22-by-other.Hi,1.0178166263196635
1622,team2_stats.opponent-extra-base-hit-pct.Rank,1.0142147292548183
839,team1_stats.opponent-walks-plus-hits--per--innings-pitched.Last 1,1.0062331634279478
2213,team2_stats.win-pct-close-games.Home,0.9910147822480484
926,team1_stats.sacrifice-hits-per-game.Rank,0.9894436858267824
1103,team1_stats.win-pct-close-games.Home,0.9838968308968835
102,team1_stats.batting-average-on-balls-in-play.Rank,0.9813378803223242
680,team1_stats.opponent-rbis-per-game.Rank,0.9743696169566364
1727,team2_stats.opponent-last-2-innings-runs-per-game.Rank,0.9693478176221082
743,team1_stats.opponent-slugging-pct.Rank,0.9636806131387694
806,team1_stats.opponent-total-bases-per-game.Rank,0.9631335794676179
1705,team2_stats.opponent-home-runs-per-9.Last 3,0.9506868523581881
1045,team1_stats.vs-11-16-by-other.Hi,0.9442138433366978
1085,team1_stats.walks-per-game.Rank,0.9424731214528032
2143,team2_stats.triples-per-game.2022,0.9384590084384243
825,team1_stats.opponent-walks-per-9.Last 1,0.9334529537844021
1463,team2_stats.non-division-by-other.Rating,0.9325867598268449
723,team1_stats.opponent-shutouts.2022,0.9319561543055539
287,team1_stats.in-division-sos-by-other.Rank,0.9274871385219443
746,team1_stats.opponent-stolen-base-pct.Away,0.9232467522977235
547,team1_stats.opponent-grounded-into-double-plays-per-game.Rank,0.9227499207778812
752,team1_stats.opponent-stolen-bases-attempted.2023,0.9216578842869917
902,team1_stats.runners-left-in-scoring-position-per-game.Home,0.9191730970140404
1698,team2_stats.opponent-home-run-pct.Last 3,0.90192293553994
514,team1_stats.opponent-extra-inning-runs-per-game.2023,0.8968128000327875
932,team1_stats.season-sos-by-other.Hi,0.895568784471891
1862,team2_stats.opponent-stolen-bases-attempted.2023,0.8789406365195109
1741,team2_stats.opponent-last-4-innings-runs-per-game.Rank,0.8743964312642045
160,team1_stats.extra-inning-runs-per-game.2022,0.8692329136727778
472,team1_stats.opponent-double-plays-per-game.2023,0.8588317342591777
1555,team2_stats.opponent-at-bats-per-home-run.Away,0.8499616286711216
127,team1_stats.doubles-per-game.Away,0.8461035320777878
1283,team2_stats.first-4-innings-runs-per-game.Rank,0.8415710258932825
216,team1_stats.hits-for-extra-bases-pct.Away,0.8259160504692973
2181,team2_stats.walk-pct.Rank,0.8229854077234974
1576,team2_stats.opponent-caught-stealing-per-game.Away,0.8227059446079489
922,team1_stats.sacrifice-hits-per-game.Away,0.8125782152146761
568,team1_stats.opponent-hits-per-9.Rank,0.8010477362195931
1186,team2_stats.at-bats-per-home-run.Away,0.8006660932758649
725,team1_stats.opponent-shutouts.Away,0.797319878114263
826,team1_stats.opponent-walks-per-9.Last 3,0.7951171274254674
971,team1_stats.stolen-base-pct.2023,0.7905207497487426
1210,team2_stats.batting-average-on-balls-in-play.Last 1,0.7900782008675233
678,team1_stats.opponent-rbis-per-game.Last 1,0.788740411681374
1356,team2_stats.home-adv-by-other.Rating,0.7820450193697415
878,team1_stats.predictive-by-other.Last,0.7791243990539268
1014,team1_stats.strikeouts-per-walk.Away,0.7781237543791618
1856,team2_stats.opponent-stolen-base-pct.Away,0.7721640910910786
1373,team2_stats.home-run-pct.Last 3,0.7688602279961737
