feature_index,feature,importance
1095,team1_stats.win-pct-all-games.Away,1.6384343828796586
844,team1_stats.opponent-win-pct-all-games.Away,1.5007277956957885
324,team1_stats.last-5-games-by-other.Lo,1.49813083792674
1186,team2_stats.at-bats-per-home-run.Away,1.4441643165886426
1555,team2_stats.opponent-at-bats-per-home-run.Away,1.2525899281817179
472,team1_stats.opponent-double-plays-per-game.2023,1.242242489527441
1855,team2_stats.opponent-stolen-base-pct.2023,1.2241160135264872
691,team1_stats.opponent-runners-left-in-scoring-position-per-game.Home,1.2000954091414622
160,team1_stats.extra-inning-runs-per-game.2022,1.1969924108085364
932,team1_stats.season-sos-by-other.Hi,1.1459780754286624
1608,team2_stats.opponent-earned-runs-against-per-game.Rank,1.1361221192328141
852,team1_stats.opponent-win-pct-close-games.Home,1.1078181365771265
747,team1_stats.opponent-stolen-base-pct.Home,1.1019776107695356
234,team1_stats.hits-per-game.Rank,1.1010047373800471
771,team1_stats.opponent-strikeout-pct.Rank,1.0914352295846106
422,team1_stats.opponent-8th-inning-runs-per-game.2022,1.0895286463386407
2030,team2_stats.sacrifice-hits-per-game.2022,1.0866665930630937
1678,team2_stats.opponent-hits-per-9.Rank,1.0783852405496641
680,team1_stats.opponent-rbis-per-game.Rank,1.076283980024474
1224,team2_stats.consistency-by-other.Rating,1.0583833497716304
201,team1_stats.grounded-into-double-plays-per-game.2023,1.0564503898036177
1741,team2_stats.opponent-last-4-innings-runs-per-game.Rank,1.0510734542299915
1115,team2_stats.1st-inning-runs-per-game.2023,1.0397187470857008
1881,team2_stats.opponent-strikeout-pct.Rank,1.0169066565972564
285,team1_stats.in-division-sos-by-other.Last,1.0166191322950724
926,team1_stats.sacrifice-hits-per-game.Rank,1.0042694434034147
577,team1_stats.opponent-hits-per-run.2023,0.9966964910372028
1440,team2_stats.left-on-base-per-game.Home,0.9835738452003203
1575,team2_stats.opponent-caught-stealing-per-game.2023,0.9815476488520979
746,team1_stats.opponent-stolen-base-pct.Away,0.9806435951624136
1694,team2_stats.opponent-home-run-pct.2023,0.9713692169348256
1654,team2_stats.opponent-grounded-into-double-plays-per-game.Home,0.9635942244411636
920,team1_stats.sacrifice-hits-per-game.2022,0.9617003944507749
1045,team1_stats.vs-11-16-by-other.Hi,0.9616534493246215
1974,team2_stats.outs-pitched-per-game.2023,0.9528942132809467
350,team1_stats.non-division-by-other.Last,0.9482899496835108
351,team1_stats.non-division-by-other.Lo,0.9471613523761655
825,team1_stats.opponent-walks-per-9.Last 1,0.9435362872197381
329,team1_stats.left-on-base-per-game.Away,0.936635579516073
1622,team2_stats.opponent-extra-base-hit-pct.Rank,0.9351572768820378
1490,team2_stats.opponent-2nd-inning-runs-per-game.2022,0.9300665532246247
296,team1_stats.last-10-games-by-other.Hi,0.9187183180809386
1812,team2_stats.opponent-sacrifice-flys-per-game.2022,0.9177600635829043
114,team1_stats.consistency-by-other.Rating,0.9160590579190089
1576,team2_stats.opponent-caught-stealing-per-game.Away,0.9102509265713178
752,team1_stats.opponent-stolen-bases-attempted.2023,0.9089881145497385
456,team1_stats.opponent-batting-average.Rank,0.9046310827198755
158,team1_stats.extra-base-hit-pct.Last 3,0.9023039219486754
764,team1_stats.opponent-stolen-bases-per-game.Rank,0.9017244888555827
1744,team2_stats.opponent-left-on-base-per-game.Away,0.8963650220600455
1611,team2_stats.opponent-errors-per-game.Away,0.8877206554561784
1863,team2_stats.opponent-stolen-bases-attempted.Away,0.8868659452697185
585,team1_stats.opponent-home-run-pct.Away,0.8804150841473768
2213,team2_stats.win-pct-close-games.Home,0.878468867410591
839,team1_stats.opponent-walks-plus-hits--per--innings-pitched.Last 1,0.87739243168701
