feature_index,feature,importance
2,team1_stats.1st-inning-runs-per-game.2023,3043352440565.412
340,team1_stats.no-run-first-inning-pct.2023,924127412998.9429
16,team1_stats.3rd-inning-runs-per-game.2023,870959502557.0063
1105,team1_stats.yes-run-first-inning-pct.2023,845034003191.977
165,team1_stats.first-4-innings-runs-per-game.2023,811090106508.2751
30,team1_stats.5th-inning-runs-per-game.2023,793528093810.1692
172,team1_stats.first-5-innings-runs-per-game.2023,698167852402.2839
9,team1_stats.2nd-inning-runs-per-game.2023,667873808071.9087
37,team1_stats.6th-inning-runs-per-game.2023,586222581445.1367
233,team1_stats.hits-per-run.2023,428552593740.50397
942,team1_stats.shutouts.2023,386213433997.5382
58,team1_stats.9th-inning-runs-per-game.2023,364765116780.0364
546,team1_stats.opponent-hit-by-pitch-per-game.2023,351978210666.666
658,team1_stats.opponent-outs-pitched-per-game.2023,334303921705.129
195,team1_stats.games-played.Last 1,324417220497.01526
352,team1_stats.non-division-sos-by-other.Hi,310745941678.3032
511,team1_stats.opponent-extra-inning-runs-per-game.2023,306292511993.9763
179,team1_stats.first-6-innings-runs-per-game.2023,300902566965.9132
875,team1_stats.predictive-by-other.Hi,296656894075.70087
65,team1_stats.at-bats-per-game.2023,291730236176.48096
282,team1_stats.in-division-sos-by-other.Hi,285546447352.7266
349,team1_stats.non-division-by-other.Lo,283042356355.569
332,team1_stats.luck-by-other.Hi,278502388518.30383
539,team1_stats.opponent-grounded-into-double-plays-per-game.2023,276766892918.98145
805,team1_stats.opponent-triples-per-game.2023,272981853081.76025
23,team1_stats.4th-inning-runs-per-game.2023,269679666340.88672
427,team1_stats.opponent-9th-inning-runs-per-game.2023,261579948841.3117
883,team1_stats.rbis-per-game.2023,261064402825.94318
1031,team1_stats.triples-per-game.2023,257882741740.42462
371,team1_stats.opponent-1st-inning-runs-per-game.2023,248872173036.70752
630,team1_stats.opponent-left-on-base-per-game.2023,241470078639.88556
1060,team1_stats.vs-6-10-by-other.Lo,234624561897.76984
183,team1_stats.first-6-innings-runs-per-game.Last 1,231739034580.24243
927,team1_stats.schedule-strength-by-other.Lo,230858442976.10397
250,team1_stats.home-by-other.Lo,224395798521.86243
144,team1_stats.errors-per-game.2023,223615541936.8743
