2025-05-26 14:42:41 INFO     root: Preprocessing NBA on 2025-05-26
2025-05-26 14:43:59 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 14:43:59 INFO     root: Postprocessing NBA on 2025-05-26
2025-05-26 14:43:59 INFO     root: Updated final scores for 0 games. Skipped 1 games.
2025-05-26 14:43:59 INFO     root: Preprocessing MLB on 2025-05-26
2025-05-26 14:45:29 INFO     root: populate_pregame_data: inserted/updated 12 rows, skipped 0 games.
2025-05-26 14:45:29 INFO     root: Postprocessing MLB on 2025-05-26
2025-05-26 14:45:30 INFO     root: Updated final scores for 0 games. Skipped 12 games.
2025-05-26 14:45:30 INFO     root: Preprocessing NBA on 2025-05-25
2025-05-26 14:45:35 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/fastbreak-efficiency?date=2025-05-25, sleeping 4 minutes before retry
2025-05-26 14:50:47 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 14:50:47 INFO     root: Postprocessing NBA on 2025-05-25
2025-05-26 14:50:48 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 14:50:48 INFO     root: Preprocessing MLB on 2025-05-25
2025-05-26 14:52:24 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 14:52:24 INFO     root: Postprocessing MLB on 2025-05-25
2025-05-26 14:52:24 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 14:52:24 INFO     root: Preprocessing NBA on 2025-05-24
2025-05-26 14:52:45 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/defensive-rebounds-per-game?date=2025-05-24, sleeping 4 minutes before retry
2025-05-26 14:57:36 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 14:57:36 INFO     root: Postprocessing NBA on 2025-05-24
2025-05-26 14:57:37 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 14:57:37 INFO     root: Preprocessing MLB on 2025-05-24
2025-05-26 14:59:14 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 14:59:14 INFO     root: Postprocessing MLB on 2025-05-24
2025-05-26 14:59:14 INFO     root: Updated final scores for 16 games. Skipped 0 games.
2025-05-26 14:59:14 INFO     root: Preprocessing NBA on 2025-05-23
2025-05-26 14:59:55 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-three-pointers-attempted-per-game?date=2025-05-23, sleeping 4 minutes before retry
2025-05-26 15:04:24 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:04:24 INFO     root: Postprocessing NBA on 2025-05-23
2025-05-26 15:04:24 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:04:24 INFO     root: Preprocessing MLB on 2025-05-23
2025-05-26 15:05:58 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 15:05:58 INFO     root: Postprocessing MLB on 2025-05-23
2025-05-26 15:05:59 INFO     root: Updated final scores for 15 games. Skipped 1 games.
2025-05-26 15:05:59 INFO     root: Preprocessing NBA on 2025-05-22
2025-05-26 15:06:56 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-points-plus-rebounds-plus-assists-per-gam?date=2025-05-22, sleeping 4 minutes before retry
2025-05-26 15:11:12 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:11:12 INFO     root: Postprocessing NBA on 2025-05-22
2025-05-26 15:11:12 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:11:12 INFO     root: Preprocessing MLB on 2025-05-22
2025-05-26 15:12:39 INFO     root: populate_pregame_data: inserted/updated 9 rows, skipped 0 games.
2025-05-26 15:12:39 INFO     root: Postprocessing MLB on 2025-05-22
2025-05-26 15:12:40 INFO     root: Updated final scores for 8 games. Skipped 1 games.
2025-05-26 15:12:40 INFO     root: Preprocessing NBA on 2025-05-21
2025-05-26 15:13:57 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:13:57 INFO     root: Postprocessing NBA on 2025-05-21
2025-05-26 15:13:58 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:13:58 INFO     root: Preprocessing MLB on 2025-05-21
2025-05-26 15:14:05 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/grounded-into-double-plays-per-game?date=2025-05-21, sleeping 4 minutes before retry
2025-05-26 15:19:26 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 15:19:26 INFO     root: Postprocessing MLB on 2025-05-21
2025-05-26 15:19:26 INFO     root: Updated final scores for 15 games. Skipped 1 games.
2025-05-26 15:19:26 INFO     root: Preprocessing NBA on 2025-05-20
2025-05-26 15:20:44 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:20:44 INFO     root: Postprocessing NBA on 2025-05-20
2025-05-26 15:20:44 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:20:44 INFO     root: Preprocessing MLB on 2025-05-20
